14_tim/3/Users_ipod5_unkown_2016-08-15_23%3A51%3A30.000000_2/0_0.png 5:0.756944 1:0.097673 3:0.081525 2:0.063050 4:0.000809
14_tim/3/Users_ipod5_unkown_2016-08-16_00%3A46%3A36.000000_2/0_0.png 1:0.999538 2:0.000397 4:0.000046 5:0.000013 3:0.000006
14_tim/3/Users_ipod5_unkown_2016-08-16_01%3A48%3A21.000000_2/0_0.png 1:0.995783 2:0.003385 5:0.000597 4:0.000118 3:0.000117
14_tim/3/Users_ipod5_unkown_2016-08-16_02%3A29%3A49.000000_2/0_0.png 1:0.999143 2:0.000716 4:0.000067 5:0.000062 3:0.000012
14_tim/3/Users_ipod5_unkown_2016-08-16_03%3A14%3A50.000000_2/0_0.png 1:0.999030 2:0.000817 5:0.000075 4:0.000049 3:0.000029
14_tim/3/Users_ipod5_unkown_2016-08-16_04%3A00%3A26.000000_2/0_0.png 1:0.999344 2:0.000524 4:0.000115 5:0.000010 3:0.000008
14_tim/3/Users_ipod5_unkown_2016-08-16_04%3A53%3A42.000000_2/0_0.png 1:0.999812 2:0.000141 4:0.000045 3:0.000002 5:0.000001
14_tim/3/Users_ipod5_unkown_2016-08-16_05%3A46%3A57.000000_2/0_0.png 1:0.999167 2:0.000627 4:0.000148 5:0.000034 3:0.000024
14_tim/3/Users_ipod5_unkown_2016-08-16_06%3A41%3A59.000000_2/0_0.png 1:0.999848 2:0.000119 4:0.000031 3:0.000001 5:0.000001
14_tim/3/Users_ipod5_unkown_2016-08-16_07%3A24%3A06.000000_2/0_0.png 1:0.999891 2:0.000076 4:0.000032 5:0.000001 3:0.000001
14_tim/3/Users_ipod5_unkown_2016-08-16_08%3A00%3A14.000000_2/0_0.png 1:0.999586 2:0.000307 4:0.000096 5:0.000007 3:0.000003
14_tim/3/Users_ipod5_unkown_2016-08-16_08%3A42%3A13.000000_2/0_0.png 1:0.999603 2:0.000321 4:0.000065 5:0.000007 3:0.000004
14_tim/3/Users_ipod5_unkown_2016-08-16_09%3A24%3A04.000000_2/0_0.png 1:0.999600 2:0.000216 4:0.000179 5:0.000003 3:0.000003
14_tim/3/Users_ipod5_unkown_2016-08-16_10%3A06%3A56.000000_2/0_0.png 1:0.997840 2:0.001760 5:0.000211 4:0.000135 3:0.000053
14_tim/3/Users_ipod5_unkown_2016-08-16_10%3A54%3A22.000000_2/0_0.png 5:0.720179 1:0.141070 2:0.093163 3:0.045335 4:0.000252
14_tim/3/Users_ipod5_unkown_2016-08-15_22%3A21%3A58.000000_2/0_0.png 5:0.736542 3:0.120972 1:0.090496 2:0.050617 4:0.001373
14_tim/3/Users_ipod5_unkown_2016-08-15_22%3A23%3A19.000000_2/0_0.png 5:0.750865 1:0.101111 3:0.091582 2:0.055270 4:0.001172
14_tim/3/Users_ipod5_unkown_2016-08-15_22%3A24%3A08.000000_2/0_0.png 5:0.735314 1:0.108850 3:0.091881 2:0.062347 4:0.001608
14_tim/3/Users_ipod5_unkown_2016-08-15_22%3A24%3A42.000000_2/0_0.png 5:0.720482 1:0.113186 3:0.101300 2:0.063936 4:0.001096
14_tim/3/Users_ipod5_unkown_2016-08-15_22%3A25%3A37.000000_2/0_0.png 5:0.790569 3:0.088395 1:0.076238 2:0.044292 4:0.000506
14_tim/3/Users_ipod5_unkown_2016-08-15_22%3A26%3A32.000000_2/0_0.png 5:0.708084 1:0.126854 3:0.082510 2:0.080870 4:0.001682
14_tim/3/Users_ipod5_unkown_2016-08-15_22%3A27%3A04.000000_2/0_0.png 5:0.725685 1:0.113429 3:0.093712 2:0.065791 4:0.001382
14_tim/3/Users_ipod5_unkown_2016-08-15_22%3A27%3A36.000000_2/0_0.png 5:0.776338 1:0.090302 3:0.072959 2:0.058891 4:0.001510
14_tim/3/Users_ipod5_unkown_2016-08-15_22%3A28%3A09.000000_2/0_0.png 5:0.779279 1:0.091941 3:0.069331 2:0.059041 4:0.000407
14_tim/3/Users_ipod5_unkown_2016-08-15_22%3A29%3A06.000000_2/0_0.png 5:0.710960 1:0.117803 3:0.102108 2:0.067708 4:0.001421
14_tim/3/Users_ipod5_unkown_2016-08-15_22%3A30%3A01.000000_2/0_0.png 5:0.761083 3:0.108853 1:0.084455 2:0.044269 4:0.001340
